date_str,Margin (%),Matched Cycles,Total Vol,Total Profit
2025-12-01,0.71,48,43.99,0.3112
2025-12-02,5.97,153,130.9,7.815
2025-12-03,3.22,136,110.26,3.5546
2025-12-04,-0.11,199,166.15,-0.1759
2025-12-05,3.73,191,151.36,5.6472
2025-12-06,7.87,155,121.76,9.5778
2025-12-07,4.05,160,134.2,5.4375
2025-12-08,7.25,151,120.69,8.7468
2025-12-09,3.8,195,164.54,6.2534
2025-12-10,6.54,191,156.35,10.2305
2025-12-11,3.29,176,144.7,4.7584
2025-12-12,4.83,198,155.7,7.5138
2025-12-13,2.01,128,104.75,2.1013
2025-12-14,4.13,135,116.11,4.801
2025-12-15,0.95,150,116.36,1.104
2025-12-16,2.99,140,108.6,3.2521
2025-12-17,5.94,124,93.26,5.535
2025-12-18,1.43,140,109.16,1.5659
2025-12-19,1.77,144,111.23,1.9657
2025-12-20,18.84,144,119.23,22.4617
2025-12-21,2.89,145,116.07,3.355
2025-12-22,6.4,124,95.93,6.137
2025-12-23,4.45,140,115.7,5.1459
2025-12-24,5.52,151,121.03,6.6817
2025-12-25,3.41,119,110.31,3.7571
2025-12-26,1.02,166,132.59,1.3535
2025-12-27,7.51,110,91.29,6.8532
2025-12-28,6.26,139,116.25,7.2742
2025-12-29,2.37,179,147.94,3.5012
2025-12-30,12.31,138,111.74,13.7566
2025-12-31,8.69,117,101.48,8.816
2026-01-01,4.66,120,115.84,5.3984
2026-01-02,4.38,128,115.93,5.0755
2026-01-03,0.21,98,91.22,0.1919
2026-01-04,-1.1,92,73.89,-0.8153
2026-01-05,-1.81,110,104.82,-1.8978
2026-01-06,10.61,211,223.43,23.6958
2026-01-07,9.36,184,174.04,16.2899
2026-01-08,3.57,149,137.43,4.9024
2026-01-09,7.85,137,130.43,10.2446
2026-01-10,6.68,84,82.53,5.5144
2026-01-11,3.39,195,196.5,6.6581
2026-01-12,3.46,181,166.66,5.7709
2026-01-13,7.69,181,182.96,14.065
2026-01-14,3.49,153,140.35,4.9001
2026-01-15,0.73,160,175.9,1.2878
